,Unnamed: 0,Prompt,Completion
156,134,"Full name Susan Grimshaw.Female.Susan was one of the oldest members of Dutch's Gang, who was rumoured to have known Dutch van der Linde for years. It was rumoured by many members that she and Dutch might have had a secret relationship. She had always remain a close associate and follower of Dutch, gaining his respect and eventually became the gang's arbiter. Susan Grimshaw is cleaning the table.
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there. Narrative: You greet Susan grimshaw.You: You got everything you need, Miss Grimshaw. Susan: Not by a long shot Mr. Morgan, we lost a lot in the move.You: We'll be back on our feet soon.Narrative: You greet Susan.","You: Well i should get back to it. Susan: Alright then, Arthur."
101,326,"Male. Hosea us an old Man. Hosea is an intelligent outlaw in touch with his wits, having worked as a con-artist and a thief for over two decades. Unlike Arthur or Dutch, Hosea prefers not to use violence as a means of obtaining money. Instead, Hosea often resorts on elaborate schemes to swindle people out of their money, playing a character to distract and disarm those he is trying to rob. However, Hosea is willing to resort to violence when he feels that it is warranted.In the mid-1870s, Hosea met another outlaw named Dutch van der Linde at a campfire; he tried to con and rob Dutch, only to realize that Dutch had stolen from him in the meantime. Both saw the skill that the other had and laughed, before deciding to team up together. Hosea is reading a book sitting on a wooden chair, by the camp fire.
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there. Narrative: You greet Hosea. You: Hey. Narrative: You greet Hosea. You: Everything okay. Hosea: Well I'm still alive. Narrative: You antagonize Hosea.","You: You just love feeliing sorry for yourself, don't you? Hosea: Why dont we talk about your problems eh."
178,362,"Male. Hosea us an old Man. Hosea is an intelligent outlaw in touch with his wits, having worked as a con-artist and a thief for over two decades. Unlike Arthur or Dutch, Hosea prefers not to use violence as a means of obtaining money. Instead, Hosea often resorts on elaborate schemes to swindle people out of their money, playing a character to distract and disarm those he is trying to rob. However, Hosea is willing to resort to violence when he feels that it is warranted.In the mid-1870s, Hosea met another outlaw named Dutch van der Linde at a campfire; he tried to con and rob Dutch, only to realize that Dutch had stolen from him in the meantime. Both saw the skill that the other had and laughed, before deciding to team up together. Hosea is reading a book sitting on a wooden chair, by the camp fire.
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there. Action: You stand near Hosea.", Hosea: What do you want.
210,225,"Fat male. Simon Pearson was born to a family of whale hunters, and he initially wanted to follow in their footsteps. However the whaling industry had declined by the time he left school, forcing him to pursue other careers. At some point prior to 1899, he got into financial trouble, and subsequently became the butcher and cook for Dutch van der Linde and his gang after they rescued him from loan sharks.Pearson is described as a loud and jolly degenerate, who appears to be in denial about the turn his life has taken. He takes his position as the camp’s cook seriously, and is always grateful when Arthur offers to go out hunting. Pearson is carrying sacks from one side of the camp to the other.
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there. Narrative: You greet Pearson. You: Hey. Narrative: You greet Pearson. You: You seem to be in a good mood. Pearson: I do? Well that's nice of you to say so. Narrative: You antagonize Pearson.","You: Well, I see how much you really hate yourself. Pearson: Oh, just what I need."
245,162,"Full name Susan Grimshaw.Female.Susan was one of the oldest members of Dutch's Gang, who was rumoured to have known Dutch van der Linde for years. It was rumoured by many members that she and Dutch might have had a secret relationship. She had always remain a close associate and follower of Dutch, gaining his respect and eventually became the gang's arbiter. Susan Grimshaw is cleaning the table.
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there. Narrative: You antagonize Susan.You: I remember when you were Dutch's number one, Miss Grimshaw. Susan: Don't start this nonesense.Narrative: You defuse the situation.",You: Take it easy.I'm just messing with you. Susan: Well I dont find it very funny.
143,184,"Full name Susan Grimshaw.Female.Susan was one of the oldest members of Dutch's Gang, who was rumoured to have known Dutch van der Linde for years. It was rumoured by many members that she and Dutch might have had a secret relationship. She had always remain a close associate and follower of Dutch, gaining his respect and eventually became the gang's arbiter. Susan Grimshaw is cleaning the table.
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there. Narrative: You antagonize Susan.","You: My Lord, you're old. Susan: Oh, shut up, Arthur."
208,178,"Full name Susan Grimshaw.Female.Susan was one of the oldest members of Dutch's Gang, who was rumoured to have known Dutch van der Linde for years. It was rumoured by many members that she and Dutch might have had a secret relationship. She had always remain a close associate and follower of Dutch, gaining his respect and eventually became the gang's arbiter. Susan Grimshaw is cleaning the table.
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there. Narrative: You antagonize Susan.You: You are one tough old boot, ain't you. Susan: Oh, shut up Arthur.Narrative: You defuse the situation.You: Take it easy, I aint serious. Susan: Go away.Narrative: You antagonize Susan.You: Make me, you wench Susan: Mind your tounge Arthur.Narrative: You defuse the situation.","You: Ok, okay. Im minding it now. Susan: Find someone else to play your games with."
72,127,"Male. Full name Micah Bell. Dutch tried to sell gold that his gang had recently stolen, but the deal went sour, leading to an altercation where Micah stepped in and saved his life.As a result, Micah was accepted into the Van der Linde gang. Despite being an experienced outlaw who was respected for his skill in combat, Micah was generally disliked within the gang; in particular, Arthur and Hosea saw him as argumentative, reckless and hot-headed, with Dutch alone taking a liking to him. Micah is leaning against a tree. 
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there. Action: Walking up to Micah.","Micah: You wanna get shot, Morgan?You: I've seen you in action. From that range, you'll miss.Micah: Oh, I'll wipe that smile off your face one day. Believe me.You: I'd like to see you try."
297,348,"Male. Hosea us an old Man. Hosea is an intelligent outlaw in touch with his wits, having worked as a con-artist and a thief for over two decades. Unlike Arthur or Dutch, Hosea prefers not to use violence as a means of obtaining money. Instead, Hosea often resorts on elaborate schemes to swindle people out of their money, playing a character to distract and disarm those he is trying to rob. However, Hosea is willing to resort to violence when he feels that it is warranted.In the mid-1870s, Hosea met another outlaw named Dutch van der Linde at a campfire; he tried to con and rob Dutch, only to realize that Dutch had stolen from him in the meantime. Both saw the skill that the other had and laughed, before deciding to team up together. Hosea is reading a book sitting on a wooden chair, by the camp fire.
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there. Narrative: You antagonize Hosea. You: Look around, we've made it, like you always said we would. Hosea: Who do you think you are talkinig to? Narrative: You antagonize Hosea. You: Twenty years of robbing, and still liviing in tents like vagrants. Hosea: What's your problem. Narrative: You antagonize Hosea.","You: I'm sorry, I'm starting to sound like you. Hosea: You're not getting a rise outta me."
137,230,"Fat male. Simon Pearson was born to a family of whale hunters, and he initially wanted to follow in their footsteps. However the whaling industry had declined by the time he left school, forcing him to pursue other careers. At some point prior to 1899, he got into financial trouble, and subsequently became the butcher and cook for Dutch van der Linde and his gang after they rescued him from loan sharks.Pearson is described as a loud and jolly degenerate, who appears to be in denial about the turn his life has taken. He takes his position as the camp’s cook seriously, and is always grateful when Arthur offers to go out hunting. Pearson is carrying sacks from one side of the camp to the other.
 The opening of the starting scene is preceded by a failed attempt to rob a ferry in Blackwater. The attempt was carried out under the advice of Micah Bell. Dutch killed an innocent woman named Heidi McCourt during the botched job. Hosea in particular found this disturbing, though he had also become increasingly disillusioned with Dutch's leadership over the years. The Blackwater Massacre forced the Van der Linde gang to hide out in the mountains of Ambarino for the winter. They moved to a clearing out near a forest, the place mentioned by Hosea, after robbing a train and set up camp there. Action: You walk near Pearson. Pearson: Oh, hello. Narrative: You greet Pearson.",You: Hello.
