Prompt,Completion
Action: You move past Dutch.,Dutch: Good morning Arthur.{greet}
Action: You walk into Dutch.,You: Dont mind me Dutch.
Action: You stand near Dutch for a while.,Dutch: Can you give me some room here.
Action: You stand near Dutch for a while.,Dutch: Back up a bit will you.{angry}
Action: You stand near Dutch for a while.,Dutch: Why are you acting like a fool.{angry}
Action: You keep stand near Dutch for a while.,Dutch: You want me to teach you a lesson you'll regret.{threaten}
"Narrative: You greet Dutch. ","You: Feels like we're back on track, more or less. Dutch: Yup. Money and Food, now everyone needs to keep it comming. You: For sure."
"Narrative: You greet Dutch.","You: Ok, well, lets talk more later. Dutch: Alright Arthur.."
"Narrative: You greet Dutch. ","You: Okay there Dutch? Dutch: Warm, dry, and nobody shooting at me. A marked improvement. You: Indeed."
"Narrative: You greet Dutch.","You: Well, I should get back to it. Dutch: Okay Arthur."
Narrative: You greet Dutch.,"You: You'll work it out Dutch, you always do."
Narrative: You greet Dutch.,You: Morning.{greet}
"Narrative: You greet Dutch. ","You: Anything I need to worry about. Dutch: Not right this minute.{greet}"
"Narrative: You antagonize Dutch.","You: Cause, you're always worrying me these days. Dutch: I'm not even gonna dignify that with a response."
"Narrative: You defuse the situation.You: It's all good. Calm down. Dutch: Yeah"," very amusing.{angry}"
"Narrative: You greet Dutch. ","You: Any problems. Dutch: Not any new ones."
Narrative: You greet Dutch.,"You: Well, that's something ain't it. Dutch: Whatever you say."
"Narrative: You greet Dutch. ","You: You good? Dutch: Just can't seem to get a moment's peace."
"Narrative: You antagonize Dutch. ","You: So, what you doing, staring all that time into space. Dutch: Am I sensing ideas above your station again?{angry}"
"Narrative: You defuse the situation.","You: Okay, okay. Don't start pulling rank boss. Dutch: Don't act like someone who I need to pull rank on then."
"Narrative: You greet Dutch. ","You: Hope you're working on a plan there. Dutch: Always."
Narrative: You antagonize Dutch.,"You: On second thoughts, hope you ain't working on any kind of plan at all. You ain't been having a good streak with those plans of yours. Dutch: Talking back now, are you?"
"Narrative: You greet Dutch. ","You: Another day another dollar. Dutch: Yes indeed."
"Narrative: You antagonize Dutch. ","You: So no more master plans okay? You're better of without them. Dutch: I'm just impressed you're stringing entire sentences together."
Narrative: You defuse the situation.,"You: Alright, simmer down. Dutch: Another bizare attempt at comradery."
"Narrative: You antagonize Dutch. ","You: You know... you could get out there too, Dutch. Dutch: Just remember who you're talking to."
"Narrative: You antagonize Dutch using Hosea. ","You: Everyone sees you and Hosea reading. Dutch: Why are you doing this?"
"Narrative: You antagonize Dutch further.","You: Just sends the wrong message, if you ask me. Dutch: Arthur, run away before I do something we both will regret.{threaten}"
"Narrative: You antagonize Dutch. ","You: Uh oh, Dutch is thinking. Dutch: I'm not even gonna dignify that with a response."
"Narrative: You antagonize Dutch. ","You: Or maybe you're just staring blankly for effect. Dutch: What are you trying to prove here?{angry}"
"Narrative: You antagonize Dutch.","You: Either way, it aint getting us nowhere. Dutch: Damn child.{walk}"
Narrative: You greet Dutch using day.. ,You: Another day and we are still alive. Dutch: Of course we are.
Narrative: You antagonize Dutch.,You: Despite all your best efforts to kill us all. Dutch: Yet you're still here.
Action: You walk by Strauss.,"Strauss: Good Morning, Arthur.{greet}"
Narrative: You greet Strauss.,You: Good morning to ya.
"Narrative: You greet Strauss. ","You: Bet you never thought you'd end up here, huh. Strauss: I didn't know where I'd end up."
"Narrative: You greet Strauss.","You: Funny how things turn out. Strauss: Sounds good, Mr. Morgan."
"Narrative: You greet Strauss. ","You: Hey Strauss. Strauss: Good Morning, Arthur.{greet}"
"Narrative: You greet Strauss. ","You: Keep those books full, now. Strauss: I'm trying."
Narrative: You greet Strauss.",You: We need every cent we can get. Strauss: Sounds good Mr. Morgan.
"Narrative: You greet Strauss. ","You: Hey Strauss. Strauss: Herr Morgan."
"Narrative: You greet Strauss. ","You: Why are you looking so shifty? Strauss: I'm not."
Narrative: You greet Strauss.,"You: Okay I guess we'll find out. Strauss: Splendid, Mr. Morgan."
"Narrative: You greet Strauss. ","You: Putting the world to rights there? Strauss: Trying to, Mr. Morgan."
"Narrative: You greet Strauss.","You: Well, don't let me disturb you. Strauss: Take care, Arthur."
"Narrative: You greet Strauss. ","You: Why are you looking so shifty? Strauss: I'm not."
Narrative: You greet Strauss.,"You: Okay, I'll guess we find out. Strauss: Sounds good, Mr. Morgan."
Narrative: You greet Strauss.,"You: Hello, Mr. Strauss.{greet}"
"Narrative: You greet Strauss. ","You: You ever miss Austria. Strauss: Sometimes, I suppose."
"Narrative: You antagonize Strauss. ","You: Cause maybe we'd all be better of if you went there. Strauss: Please don't be like this, Mr. Morgan."
"Narrative: You defuse the situation. ","You: I'm just kidding with ya gramps. Strauss: You are a strange man sometimes."
"Narrative: You greet Strauss.","Don't take it to heat, Strauss. Strauss: I won't, we all have ..off days."
Action: You walk by Strauss.,Strauss: Hello Mr. Morgan.{greet}
Narrative: You greet Strauss.,You: Good morning to you.
"Narrative: You greet Strauss. ","You: Keep those books full, now. Strauss: I'm trying."
"Narrative: You antagonize Strauss. ","You: You sure ain't any other use to us. Strauss: Now there's no need to be rude.{angry}"
"Narrative: You defuse the situation.","You: My bad Strauss, won't happen again. Strauss: Good."
Action: You walk by Strauss.,"Strauss: How are you, Mr. Morgan.{greet}"
"Narrative: You greet Strauss. ","You: Good."
