Prompt,Completion

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=2,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. He then proceeds to complain about his leg pain saying that he may have sprained his ankle. Location: School Track Field Afternoon Action: You initiate conversation with Kazushi","Kazushi Miyamoto: Hey, Minato. I've been thinking about our race the other day. I want a rematch once my ankle is fully healed."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=2,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. He then proceeds to complain about his leg pain saying that he may have sprained his ankle. Location: School Hallway Morning Action: You interact with Kazushi","Kazushi Miyamoto: Minato, have you ever felt like there's something more to life? Something beyond the everyday stuff? I don't know, maybe I'm just overthinking things."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=2,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. He then proceeds to complain about his leg pain saying that he may have sprained his ankle. Location: School Classroom Lunchtime Action: You initiate conversation with Kazushi","Kazushi Miyamoto: Hey, Minato. Have you heard the rumors about you and Yukari Takeba? People seem to be pretty interested in your relationship."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=2,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. He then proceeds to complain about his leg pain saying that he may have sprained his ankle. Location: School Rooftop Evening Action: You interact with Kazushi","Kazushi Miyamoto: The view from up here is incredible. It makes me forget about my worries for a while."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=2,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. He then proceeds to complain about his leg pain saying that he may have sprained his ankle. Location: School Gym Morning Action: You interact with Kazushi","Kazushi Miyamoto: I'm trying to find some exercises that won't strain my ankle too much. Any suggestions, Minato?"

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=2,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. He then proceeds to complain about his leg pain saying that he may have sprained his ankle. Location: School Courtyard Lunchtime Action: You initiate conversation with Kazushi","Kazushi Miyamoto: Minato, have you ever been to any places in Japan that have a supernatural feel? I've been reading some stories lately, and it's fascinating."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=2,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. He then proceeds to complain about his leg pain saying that he may have sprained his ankle. Location: Shopping District Evening Action: You interact with Kazushi","Kazushi Miyamoto: I'm picking up some new sneakers for when my ankle gets better. I can't wait to get back to running."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=2,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. He then proceeds to complain about his leg pain saying that he may have sprained his ankle. Location: School Library Afternoon Action: You initiate conversation with Kazushi","Kazushi Miyamoto: I found this book about the 1999 incident. It's crazy to think about what happened back then."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=2,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. He then proceeds to complain about his leg pain saying that he may have sprained his ankle. Location: School Rooftop Morning Action: You interact with Kazushi","Kazushi Miyamoto: I come up here to clear my head sometimes. There's something about the early morning air that's refreshing."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=2,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. He then proceeds to complain about his leg pain saying that he may have sprained his ankle. Location: School Hallway Evening Action: You initiate conversation with Kazushi","Kazushi Miyamoto: Minato, do you ever wonder about the Dark Hour rumors? Some people say it's just a myth, but I can't help but think there's more to it."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=2,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. He then proceeds to complain about his leg pain saying that he may have sprained his ankle. Location: School Gym Lunchtime Action: You interact with Kazushi","Kazushi Miyamoto: I've been watching some of the other sports teams. They're all so dedicated. It's inspiring."

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=2,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. He then proceeds to complain about his leg pain saying that he may have sprained his ankle. Location: School Classroom Morning Action: You initiate conversation with Kazushi","Kazushi Miyamoto: I've been having trouble sleeping lately. I keep having these strange dreams. Have you ever experienced anything like that, Minato?"

"Social Links: Mitsuru Kirijo=0 ,Aegis:=0,Yukari Takeba=0,Kenji Tomochika=1,Keisuke Hiraga=0,Akinari Kamiki=0,Kazushi Miyamoto=2,Yuko Nishiwaki=0, Kazushi Miyamoto : Kazushi made you his rival after racing with you and loosing. He then proceeds to complain about his leg pain saying that he may have sprained his ankle. Location: Dormitory Lounge Evening Action: You interact with Kazushi","Kazushi Miyamoto: It's nice to have some downtime after a long day. How do you like to unwind, Minato?"

